"";"Rank";"ID";"Symbol";"mean expression";"SD";"max delta e";"min delta e";"correlation";"->t.score";"->p.value";"Metagene";"Chromosome";"Description"
"ENSDARG00000103316";1;"ENSDARG00000103316";"si:ch211-212k18.5";8,80835645324082;1,43645792568472;3,45314891494816;-2,08931350578779;0,83790834583778;6,14064874000555;"7.10881698862131e-06      .";"36 x 40";"7 NA";"si:ch211-212k18.5 [Source:ZFIN;Acc:ZDB-GENE-030131-379]"
"ENSDARG00000076623";2;"ENSDARG00000076623";"";7,4357637580236;1,8312321929879;3,22323967485841;-4,33820135452464;0,615477811782997;3,12364155016038;"0.00327366960659081      .";"32 x 40";"19 NA";"collagen, type XIV, alpha 1b [Source:ZFIN;Acc:ZDB-GENE-030131-1985]"
"ENSDARG00000037178";3;"ENSDARG00000037178";"zic2b";7,15275721765316;0,986096175755431;2,8466723171535;-1,18630395048875;0,727867514489264;4,24587216420749;"0.000308240849244967      .";"31 x 40";"1 NA";"zic family member 2 (odd-paired homolog, Drosophila) b [Source:ZFIN;Acc:ZDB-GENE-030219-92]"
"ENSDARG00000010758";4;"ENSDARG00000010758";"capn12";7,28044046929886;1,38900444400389;2,8034183469893;-4,01789393146403;0,778915562381157;4,96813763064474;"6.97808864484895e-05      .";"34 x 40";"18 NA";"calpain 12 [Source:ZFIN;Acc:ZDB-GENE-050419-245]"
"ENSDARG00000045143";5;"ENSDARG00000045143";"hbbe2";9,4439506376864;1,62472629424337;2,69029917254784;-3,04351596080651;0,721731731625622;4,17081768803181;"0.000360603183773733      .";"35 x 40";"12 NA";"hemoglobin beta embryonic-2 [Source:ZFIN;Acc:ZDB-GENE-040702-1]"
"ENSDARG00000094215";6;"ENSDARG00000094215";"";4,41817207705293;1,11332744718578;2,57290722594732;-1,20596585033253;0,639836681649034;3,33026725958065;"0.00212002998072669      .";"34 x 38";"4 NA";""
"ENSDARG00000095268";7;"ENSDARG00000095268";"si:dkey-261h17.1";9,68829222237126;1,11367501639723;2,55279764322463;-1,55357807077466;0,829457724108003;5,93987124119794;"1.03781848050932e-05      .";"36 x 39";"23 NA";"si:dkey-261h17.1 [Source:ZFIN;Acc:ZDB-GENE-030829-14]"
"ENSDARG00000037362";8;"ENSDARG00000037362";"scube2";7,00475306804857;1,20998281079919;2,48408721794717;-1,83476797166872;0,866687669897276;6,94946897305079;"1.63700758815111e-06      .";"35 x 40";"7 NA";"signal peptide, CUB domain, EGF-like 2 [Source:ZFIN;Acc:ZDB-GENE-050302-80]"
"ENSDARG00000103311";9;"ENSDARG00000103311";"";7,95080587330426;1,1703672100951;2,47783246684635;-2,75546870726818;0,734020796218174;4,32331982263987;"0.000262274851954514      .";"36 x 39";"KN149987.1 NA";"fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]"
"ENSDARG00000091525";10;"ENSDARG00000091525";"zgc:173552";10,8795384130053;1,15968638706697;2,46086599587338;-1,44095050077365;0,8182144278506;5,69278614050175;"1.66562133635528e-05      .";"36 x 40";"7 NA";"zgc:173552 [Source:ZFIN;Acc:ZDB-GENE-080220-24]"
"ENSDARG00000102032";11;"ENSDARG00000102032";"";7,27836682374416;1,21258080744195;2,44782852801879;-2,42731692150127;0,787638264993199;5,1133891381011;"5.20958130261207e-05      .";"34 x 40";"KN150172.1 NA";""
"ENSDARG00000089684";12;"ENSDARG00000089684";"si:ch211-113a14.17";9,10003657057316;1,08206912595045;2,43861510298907;-2,17430698897184;0,744418661713456;4,45951173612246;"0.000197657502364335      .";"36 x 39";"25 NA";"histone 1, H4, like [Source:ZFIN;Acc:ZDB-GENE-070927-10]"
"ENSDARG00000017168";13;"ENSDARG00000017168";"nr2f1b";6,48971916188431;1,57358673053764;2,37894869040998;-3,19808178365361;0,823254185103939;5,80090508297093;"1.35281693419698e-05      .";"34 x 40";"10 NA";"nuclear receptor subfamily 2, group F, member 1b [Source:ZFIN;Acc:ZDB-GENE-040426-1438]"
"ENSDARG00000030367";14;"ENSDARG00000030367";"metrn";8,94741159881904;1,08370614210922;2,36704668448694;-1,48462801703134;0,868979706936038;7,02421910087494;"1.43572092492494e-06      .";"35 x 40";"24 NA";"meteorin, glial cell differentiation regulator [Source:ZFIN;Acc:ZDB-GENE-050102-1]"
"ENSDARG00000028335";15;"ENSDARG00000028335";"hmga1a";14,2198980450752;1,00459811530141;2,36429997209044;-1,03762002640218;0,899844800226283;8,25147882837292;"1.85148076203845e-07      .";"34 x 40";"23 NA";"high mobility group AT-hook 1a [Source:ZFIN;Acc:ZDB-GENE-010502-1]"
"ENSDARG00000057062";16;"ENSDARG00000057062";"";8,39660081533259;0,99692678382055;2,35576715969055;-1,78233135119151;0,820411434356083;5,7394143298601;"1.52241945373666e-05      .";"36 x 40";"23 NA";"si:dkey-157g16.6 [Source:ZFIN;Acc:ZDB-GENE-090313-189]"
